"id","postime","lon","lat","cog","source"
"860057068454239","2025-05-23 19:01:55","108.98943233","18.36193533","0.0",b4g2g
"860057068480218","2025-05-23 18:59:02","108.9873585","18.3633495","0.0",b4g2g
"860057068480358","2025-05-23 18:59:30","109.13473453","18.14984651","0.0",b4g2g
"863963065421559","2025-05-23 19:01:32","108.98727683","18.3628905","0.0",b4g2g
"866718066723818","2025-05-23 19:00:46","109.12427817","18.35914833","0.0",b4g2g
"866718066724642","2025-05-23 19:02:46","109.71792533","18.26401167","0.0",b4g2g
"866718066724857","2025-05-23 19:00:43","109.71788617","18.26526683","0.0",b4g2g
"866718066725052","2025-05-23 19:00:27","109.13628633","18.345056","0.0",b4g2g
"866718066725136","2025-05-23 19:00:32","109.71889033","18.2631305","0.0",b4g2g
"866718066725177","2025-05-23 18:52:29","109.49622873","18.24135943","0.0",b4g2g
"866718066725367","2025-05-23 19:00:30","109.12175883","18.3533825","0.0",b4g2g
"866718066725375","2025-05-23 19:00:55","109.71820367","18.2638085","0.0",b4g2g
"866718066725441","2025-05-23 18:59:02","109.13697817","18.35061467","0.0",b4g2g
"866718066725581","2025-05-23 18:41:28","109.71964782","18.26286497","0.0",b4g2g
"866718066725839","2025-05-23 18:53:29","109.55965067","18.23782113","0.0",b4g2g
"866718066725938","2025-05-23 18:56:02","109.12451817","18.36240217","0.0",b4g2g
"866718066725946","2025-05-23 18:58:16","109.71111983","18.26368483","0.0",b4g2g
"866718066726019","2025-05-23 18:59:30","109.13043853","18.35417764","0.0",b4g2g
"866718066726068","2025-05-23 19:01:23","109.72141633","18.26209383","0.0",b4g2g
"866718066726092","2025-05-23 19:00:51","109.1250535","18.35128033","0.0",b4g2g
"866718066726209","2025-05-23 18:36:28","109.72130826","18.26288776","0.0",b4g2g
"866718066726233","2025-05-23 18:37:58","109.12994652","18.35373869","0.0",b4g2g
"866718066726266","2025-05-23 19:00:02","109.71995617","18.262724","0.0",b4g2g
"866718066726704","2025-05-23 19:02:02","109.12356983","18.3611365","0.0",b4g2g
"866718066726803","2025-05-23 18:59:15","109.12445233","18.36276033","0.0",b4g2g
"866718066726852","2025-05-23 19:00:45","109.123998","18.36039017","0.0",b4g2g
"866718066726902","2025-05-23 19:01:00","109.13111955","18.35460373","0.0",b4g2g
"866718066727249","2025-05-23 18:36:28","109.12976918","18.35329329","0.0",b4g2g
"866718066728098","2025-05-23 18:45:28","108.86625745","18.43759132","0.0",b4g2g
"866718066728296","2025-05-23 18:51:59","109.71841119","18.26450969","0.0",b4g2g
"866718066728403","2025-05-23 18:58:02","109.12372633","18.35723967","0.0",b4g2g
"866718066728452","2025-05-23 19:02:16","109.12500967","18.361983","0.0",b4g2g
"866718066728668","2025-05-23 18:38:58","109.12294451","18.35908308","0.0",b4g2g
"866718066728791","2025-05-23 18:59:02","109.12428933","18.354591","0.0",b4g2g
"866718066728908","2025-05-23 18:59:32","108.86531717","18.43694783","0.0",b4g2g
"866718066729062","2025-05-23 18:59:40","108.98948483","18.3645015","0.0",b4g2g
"866718066729138","2025-05-23 19:02:30","109.71889926","18.26298261","0.0",b4g2g
"866718066729203","2025-05-23 19:01:00","108.957043","18.40577967","0.0",b4g2g
"866718066729260","2025-05-23 18:38:28","109.12577207","18.35111624","0.0",b4g2g
"866718066729336","2025-05-23 18:59:21","109.11669817","18.3535995","0.0",b4g2g
"866718066729781","2025-05-23 19:02:02","108.86705867","18.43197517","0.0",b4g2g
"866718066731167","2025-05-23 18:59:50","108.98884967","18.36106817","0.0",b4g2g
"866718066731381","2025-05-23 18:59:02","109.71891133","18.263196","0.0",b4g2g
"866718066731415","2025-05-23 18:58:32","109.12470983","18.35104417","0.0",b4g2g
"866718066731803","2025-05-23 19:02:02","109.12453733","18.35898483","0.0",b4g2g
"866718066731985","2025-05-23 18:36:58","109.7185319","18.26335314","0.0",b4g2g
"866718066732066","2025-05-23 18:40:28","109.12613857","18.35099088","0.0",b4g2g
